"patch","user","nn","avg_speed","duration","noutliers","lon_center","lat_center","rgyration","dw","ini_dat"
8381,"16b17783d618761aa7850db6cc62f124857696b76fcae23d72ddc9d4b8db2691",3,0.0321496877589756,15627,0,-71.0705078,42.3626890333333,0.00234898798747544,1,1475582705
13543,"215f81ecfb2e5abb67c2b3b6b37a968679f457ac1f50a60d464ffb04e3608cd8",3,0.534013161011143,159,0,-71.0869146666667,42.3619682,0.0102253682721327,1,1475365701
16499,"24eecb971324c0c7e8b5b7ae1ce570a6751a39b62c5c2ec5d44fc7424c2795a0",3,0.0571490461961901,1589,0,-71.0784733,42.3671037,0.0130872784136474,1,1475500189
16501,"24eecb971324c0c7e8b5b7ae1ce570a6751a39b62c5c2ec5d44fc7424c2795a0",5,0.597002073014529,4516,0,-71.07908354,42.3672857,0.00552943663707041,1,1475505258
16544,"24eecb971324c0c7e8b5b7ae1ce570a6751a39b62c5c2ec5d44fc7424c2795a0",3,0.0145164565241592,5109,0,-71.0789753333333,42.3671810666667,0.0111921804342891,1,1475857300
16546,"24eecb971324c0c7e8b5b7ae1ce570a6751a39b62c5c2ec5d44fc7424c2795a0",3,2.62225078653489,16,0,-71.0781061,42.3667972666667,0.00609685498956854,1,1475872127
22372,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",3,0.355450645035802,198,0,-71.0704471666667,42.3578431,0.0019909022558442,1,1475338305
22389,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",4,0.0218278552266591,8318,0,-71.0720973,42.360077175,0.00847216417354485,1,1475355578
22396,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",113,0.180901101989385,46455,5,-71.0717729424779,42.360155279646,0.00440047452698075,1,1475373871
22398,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",16,0.321569476700211,3102,0,-71.07176375625,42.36016941875,0.00389263272675004,1,1475431511
22401,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",7,0.0528328726201371,5873,1,-71.0717084,42.3601479857143,0.00953593111633067,1,1475438376
22402,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",111,0.14442389094189,51805,3,-71.0718567243243,42.3601536531532,0.00431983447158387,1,1475444799
22409,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",5,1.82008912459437,422,0,-71.07609716,42.3681452,0.00428020626223001,1,1475530545
22425,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",16,0.0873023587545262,40224,1,-71.071783925,42.3601334875,0.00634571558337339,1,1475538357
22429,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",3,2.39865459841658,28,0,-71.0714204666667,42.3684924333333,0.0064112783856982,1,1475580271
22440,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",5,0.256457985397414,1774,0,-71.07171102,42.36018932,0.00496416340052029,1,1475666314
22458,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",5,5.24563157786014,3815,0,-71.07586454,42.36992812,0.00782031673581967,1,1475690419
22460,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",3,0.291104156656662,266,0,-71.0715238333333,42.3603105666667,0.00605514039435952,1,1475711864
22464,"35e18aa6ba26669545edd64600ad3c4abb517268a9cedc0410be14ea050ca427",3,0.11794007311513,2454,0,-71.0713830333333,42.3601697333333,0.00300684515908266,1,1475749174
41481,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",4,0.142378796168468,827,0,-71.07733865,42.368638525,0.0102872789354949,1,1475413892
41484,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",7,0.11794434901408,3155,0,-71.0771242428571,42.3689789285714,0.00308794058509063,1,1475418111
41504,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",10,0.14597825331582,12083,0,-71.07011211,42.36241936,0.00671581294828178,1,1475522864
41510,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",5,0.112753969057816,3534,0,-71.0701771,42.36238592,0.00582874527013716,1,1475604668
41512,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",6,0.0850520669886823,8292,0,-71.0700549166667,42.3624690333333,0.0129154240276849,1,1475613068
41519,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",3,0.311977673348957,285,0,-71.0702540333333,42.3625992,0.00473208282411004,1,1475690439
41521,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",3,0.17839771813342,1431,0,-71.0702049333333,42.362408,0.00870222369857043,1,1475691118
41523,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",5,0.108597304086673,6098,0,-71.07024748,42.3624321,0.00605666076482005,1,1475695704
41530,"6c2d7db92d479a1aa008f5c1146c02efc5e16a41de246a2d470a7c4621678474",3,0.0671572416351254,1475,0,-71.0710069666667,42.3627751333333,0.00701896701349623,1,1475786050
68733,"c0a043647b55fa367fb02af5df74e5fa66b9473fb101d315e1da3c5cfa4650c8",4,0.248569691092494,499,0,-71.071534925,42.361143625,0.00794531992331704,1,1475862968
36772,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",3,0.202726508049008,541,0,-71.0889219666667,42.3613332,0.00873493100100778,1,1475597042
36774,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",3,0.278333606178311,398,0,-71.0891943333333,42.3615435333333,0.0167887461259703,1,1475602569
36782,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",3,0.240890278741059,260,0,-71.0883262333333,42.3607621333333,0.00602636349191652,1,1475609030
36784,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",4,0.0914235200143727,1228,0,-71.08826435,42.36075155,4.33598163678859e-09,1,1475610336
36801,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",3,0.375671320994286,261,0,-71.0893422666667,42.3616625666667,0.00941814172194041,1,1475703608
36822,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",4,0.11756112637118,933,0,-71.0889564,42.3613958,0.00306598435776549,1,1475781858
36840,"62d6a75afd84fff6507bb293482b5eaa6a8c3d05e1ccbe14d41f22da17a0ee8a",3,0.0469395509352717,1760,0,-71.0888820666667,42.3613403333333,0.00785554810767904,1,1475860123
52172,"8f92d23b00ba3537e6f065ba68667f0039adbd68e4c26d4911d40b63d645c0b9",3,0.290227622122359,259,0,-71.0778152,42.367298,0.00283292613427262,1,1475788797
59266,"a6be3e82bf28f1d7ae3216be29eea356df482ef88874e10bf6987603779f0cdf",7,0.161365559287694,33021,1,-71.0941437428572,42.3651842571429,0.00793747299132291,1,1475421048
85616,"f421d97629bd1a32cf2eb2c51f6090a1d049cf194952680057db916074b33326",4,0.025313273787862,7260,0,-71.0872547,42.362685825,0.021830107576252,1,1475512274
85620,"f421d97629bd1a32cf2eb2c51f6090a1d049cf194952680057db916074b33326",3,0.063691854485857,1326,0,-71.0869026666667,42.3627711333333,0.00829492492127483,1,1475583426
85625,"f421d97629bd1a32cf2eb2c51f6090a1d049cf194952680057db916074b33326",10,0.111208454271026,8969,1,-71.087127,42.36275866,0.00745078396906212,1,1475595916
85635,"f421d97629bd1a32cf2eb2c51f6090a1d049cf194952680057db916074b33326",5,0.223931596354375,7576,0,-71.08723382,42.36278062,0.0106735711118171,1,1475848868
85637,"f421d97629bd1a32cf2eb2c51f6090a1d049cf194952680057db916074b33326",3,0.0912454134455026,8015,0,-71.0872740333333,42.3626365333333,0.0136004778856588,1,1475859158
89253,"ff64e55d9a83281749bb17bd043c8cfd6fb96a53cb1abf900bc6044ee96ecc00",3,17.8363629780374,2,0,-71.0721855666667,42.3590989333333,0.0102818512824216,1,1475461869
19147,"396f9536ce14082650513bd03f74fac041e6b75cc64b546bbf0afdf8a25bedde",12,0.120682587682635,2359,0,-71.0763112333333,42.3675918333333,0.00406917344235704,1,1475434086
19148,"396f9536ce14082650513bd03f74fac041e6b75cc64b546bbf0afdf8a25bedde",9,0.157494743406073,2227,1,-71.0762506111111,42.3680835222222,0.0139762137482525,1,1475436603
19149,"396f9536ce14082650513bd03f74fac041e6b75cc64b546bbf0afdf8a25bedde",4,0.0647774470866204,586,0,-71.076233675,42.3676814,0.00305796714806875,1,1475439182
19150,"396f9536ce14082650513bd03f74fac041e6b75cc64b546bbf0afdf8a25bedde",3,0.178955010653237,306,0,-71.0766303666667,42.3670564,0.00311389783968817,1,1475439929
82423,"db3eff11f1c93dbf2299d304f658bc57e9249ad9329f9b865c4a44361f4f77cb",3,0.297263268839164,245,0,-71.0720976,42.3687919666667,0.0058176250753998,1,1475609191
86146,"e178b768a757555789b2846c2f7681277974c8da157f090deeea4d05ed8a8fc4",4,0.0342017596786528,4139,0,-71.0715021,42.367788525,0.0125595391151015,1,1475510276
92888,"e9bf43e87e0a24cea3ed5651c55eae6684fb1d189017933742ae8698546a0d38",4,0.114550369570482,1343,0,-71.076193825,42.3681192,0.00470611290924039,1,1475869162
5928,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,17.1668956866096,2,0,-71.0939127666667,42.3567825666667,0.00923707320692354,1,1475335280
5930,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,16.04890493549,3,0,-71.0915345,42.3575888333333,0.011138518012754,1,1475335292
5935,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,16.4225668815614,3,0,-71.0851973,42.359583,0.011332368540564,1,1475335324
5941,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,14.4245820391009,3,0,-71.0805157666667,42.3607015333333,0.0103205273865619,1,1475335352
5942,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,12.1216180925032,4,0,-71.0798471333333,42.3607078333333,0.0100943707099648,1,1475335356
5943,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",4,12.1602049869777,4,0,-71.07902925,42.360928075,0.0108602667387142,1,1475335362
5944,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,11.9432440563368,4,0,-71.0786081333333,42.3613944666667,0.0126103630990068,1,1475335367
5948,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,10.1946949245542,3,0,-71.0781943,42.3639774666667,0.00705743823737838,1,1475335394
5949,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,11.2329928974105,3,0,-71.0777725333333,42.3644411,0.00771480786648009,1,1475335400
